sp_id,pid,content,gen_title,gen_start_date,gen_end_date,images
47275,4411,"Enjoy fantastic promotions this Chinese New Year! 🍊🎉 1) Junior Bra, buy second piece at 50% OFF  2) All Panties, 5 for $25 3) Best Deals for selected items at $10 4) Selected Panties, 3 for $10 5) Selected Homewear at 50% OFF 6) Flash Deals for selected Pack Panties at $10  7) All Regular Items at 30% OFF 14 Feb till 28 Feb only. . Shop now : https://youngheartslingerie.com #bepositive #supportlocalsg #youngheartssingapore #chinesenewyear2021",Up to 50% OFF for Post-Chinese New Year Sale!,2021-02-15 16:00:00+00,2021-02-28 15:59:59+00,"{https://d1u57wxxsxzpd6.cloudfront.net/2e37bbc0-bfa3-4eb2-a266-61c41c65be54_o.jpeg,https://d1u57wxxsxzpd6.cloudfront.net/f19b4222-0672-4bc0-9945-9c08cf50f503_o.jpeg,https://d1u57wxxsxzpd6.cloudfront.net/46ab5c39-75f6-4251-9835-e8093acbec26_o.jpeg,https://d1u57wxxsxzpd6.cloudfront.net/b2766a6e-c794-4efb-bfb6-405384aa0a6e_o.jpeg}"
48563,4607,Stay cool and hydrated. Grab a refreshing beverage from our SPC Choices stores today! 😋 Promotion is valid till 28 February 2021 or while stocks last. Click here for our latest promotions: https://www.spc.com.sg/our-business/spc-service-station/latest-promotions/ #SPCSingapore #SPCChoices,$1 - $3.90 for Beverages Deals!,2021-02-17 16:00:00+00,2021-02-28 15:59:59+00,{https://d1u57wxxsxzpd6.cloudfront.net/584f6beb-85e8-4c46-8262-5fe0bed1937e_o.jpeg}
48684,4684,"Happy Birthday Everyone! 人日快乐! 🎂 Psst, we have dropped a fresh new collection in all stores today & will be available online on 21st Feb at 9pm!  #TSWCNY2021 #TSWstyles #CNY2021",New! A Fresh Collection,2021-02-20 16:00:00+00,2021-02-21 15:59:59+00,"{https://d1u57wxxsxzpd6.cloudfront.net/45fda214-66f7-48ed-8096-5c406752bf79_o.jpeg,https://d1u57wxxsxzpd6.cloudfront.net/35884cdb-5f81-43a3-8c2f-10b923ceab04_o.jpeg,https://d1u57wxxsxzpd6.cloudfront.net/266916d6-ca02-4c2d-b7cc-240bdce0636a_o.jpeg}"
50837,4813,"SPORTS SALE happening now till 24 February at ISETAN Serangoon Central, level 2.   Save up to 70% on footwear, apparel and accessories from Mizuno, Columbia, Teva, Spalding, K Swiss and more. Don’t miss it! #isetansg",Up to 70% OFF Sports Sale!,2021-02-21 16:00:00+00,2021-02-24 15:59:59+00,{https://d1u57wxxsxzpd6.cloudfront.net/951282a9-a3d0-47a5-8202-929707ce30e9_o.jpeg}
50793,4962,"15% off all mirrors with discount code REFLECT, valid all February 2021.⁠ A rustic reclaimed wood frame brings warmth and charm to any space - our d-Bodhi mirrors are available in different designs. ⁠ Shop online: https://journeyeast.com/collections/decor-accessories/type_mirror",15% OFF* All Mirrors!,2021-02-21 16:00:00+00,2021-02-28 15:59:59+00,{https://d1u57wxxsxzpd6.cloudfront.net/5037f81c-e4ca-40d0-931f-30baf6c6f219_o.jpeg}
50486,4987,[Seasonal Sale] Up to 50% off on selected items! More items from the biggest Sporting Brands are currently on SALE while stocks last. Hurry! check out at Royal Sporting House ION Orchard & Novena Velocity from now till 28 Feb 2021. #royalsportinghousesg,Up to 50% OFF* Selected Items!,2021-02-21 16:00:00+00,2021-02-28 15:59:59+00,{https://d1u57wxxsxzpd6.cloudfront.net/aef831d1-909e-4b6e-8b3b-00214705a871_o.jpeg}
47914,5014,"📢 大*鸡*大利 CNY Deal 🐓: $5 Sergeant Hainanese Chicken Rice + Braised Egg @ Food Republic Suntec City & VivoCity!  Promo available from now until 28 Feb, T&Cs apply.",$5 for Sergeant Hainanese Rice + Braised Egg,2021-02-21 16:00:00+00,2021-02-28 15:59:59+00,{https://d1u57wxxsxzpd6.cloudfront.net/629cac4a-db53-4745-b8ae-750029130ca4_o.jpeg}
51568,5074,"[GIVEAWAY] Cook like a pro with Lace from Ninja Kitchen, where she shows you how to cook with just 1 Multi-Cooker, the Ninja Foodi. PLUS, stand a chance to win the Ninja Foodi Multi Cooker (worth $499)  Here's how to win this giveaway: 1. Like this post 2. Like both TANGS & Ninja Kitchen 3. Tag 3 friends 4. Share with us your most memorable cooking experience This giveaway closes on 28 Feb 2021 (Sun) 23:59 SGT. Only one submission per user is allowed.  We look forward to seeing your entries!",WIN $499 Ninja Foodi Multi Cooker,2021-02-22 16:00:00+00,2021-02-28 15:59:59+00,"{https://d1u57wxxsxzpd6.cloudfront.net/a9aabb44-ee37-470f-8ca4-60bed0f493aa_o.jpeg,https://d1u57wxxsxzpd6.cloudfront.net/c87f5ee9-38fc-49d2-a31a-b6b81f869473_o.jpeg,https://d1u57wxxsxzpd6.cloudfront.net/4077a91f-1e38-43ba-a63c-861ee3a57bc9_o.jpeg,https://d1u57wxxsxzpd6.cloudfront.net/43125b26-1b1a-4ce1-92cb-de45a619b466_o.jpeg}"
52182,5119,"🎉GIVEAWAY TIME!  You're one Z.E.S.T pass away from WINNING a 𝐆𝐨𝐥𝐝 𝐂𝐥𝐚𝐬𝐬®️ 𝐌𝐨𝐯𝐢𝐞 𝐕𝐨𝐮𝐜𝐡𝐞𝐫 (worth $32)! Work in style with Z.E.S.T @ Gold Class®️ and you could be ONE of our 3 lucky winners! Plus, you'll get to enjoy more sweet perks like free coffee/tea, popcorn and movie discounts!  Giveaway ends 24 Mar 2021, more info here ➡️ bit.ly/30ICLAP",Win a Gold Class Movie Voucher!,2021-02-22 16:00:00+00,2021-02-24 15:59:59+00,{https://d1u57wxxsxzpd6.cloudfront.net/be86d169-b28d-441b-a970-958394c58e34_o.jpeg}
52184,5120,"Save more with our February Flash Sale, with selected items under S$6! For just $5.50, you can get The Show Book, with movie and snack vouchers worth $74! Not only that, our Scooby Doo Tumbler is going for only S$5.90, U.P S$13.50. Limited time offer, sale ends on 25 February 2021.  Grab it now: https://bit.ly/3dlB8QG #Sale #GV #MrPopcorn #OnlineShopping",Under $6 of Selected Items for the February Flash Sale!,2021-02-22 16:00:00+00,2021-02-25 15:59:59+00,{https://d1u57wxxsxzpd6.cloudfront.net/f8265cbd-ecc7-48d8-96c9-62e3ca8957d1_o.jpeg}
